Check,Status,Observed,Expected,Details
Locked reliability schema,PASS,[],[],
Locked envelope schema,PASS,[],[],
Locked Pareto schema,PASS,[],[],
Validation eye count,PASS,120,120,
Validation EyeExamID uniqueness,PASS,0,0,
Validation subject count,PASS,95,95,
True label domain,PASS,[],[],
Prediction label domain,PASS,[],[],
Validation Normal count,PASS,32,32,
Validation Abnormal count,PASS,88,88,
Reliability signals are finite and in valid ranges,PASS,valid,valid,
Day-6 metadata identifies the locked run,PASS,20260814T152105_990701-0700,20260814T152105_990701-0700,
Upstream Day-6 test_data_loaded is false,PASS,False,False,
Upstream Day-6 test_set_evaluated is false,PASS,False,False,
Upstream Day-6 test_predictions_created is false,PASS,False,False,
Day-6 feature analysis found no measurable incremental benefit,PASS,False,False,
Day-6 did not finalize an operating point,PASS,False,False,
Conservative rule maximizes observed zero-error coverage,PASS,69,69,
Conservative rule uses the simplest tied strategy,PASS,confidence_only,confidence_only,
Conservative frozen confidence threshold,PASS,2.2084707824028404,2.2084707824028404,
Conservative accepted-ID set,PASS,4d4f13d81de13a5787d5363a9c4d6ca9194e2762ad11ae8d7290707e0e9fb998,4d4f13d81de13a5787d5363a9c4d6ca9194e2762ad11ae8d7290707e0e9fb998,
Balanced rule is inside the prespecified coverage window,PASS,0.75,0.7..0.8,
Balanced rule reaches the minimum-error maximum coverage,PASS,90,90,
Balanced rule is the confidence-agreement-view-SD matched ablation,PASS,confidence_model_agreement_view_sd,confidence_model_agreement_view_sd without feature typicality,
Balanced frozen thresholds,PASS,"(0.8317997606386935, 0.33322164747457844)","(0.8317997606386935, 0.33322164747457844)",
Balanced accepted-ID set,PASS,57f0dc715d52965fef319727fe1e2de661a33ecc96edcabe87913699d38c41ec,57f0dc715d52965fef319727fe1e2de661a33ecc96edcabe87913699d38c41ec,
Both finalized rules are on the locked Day-6 Pareto frontier,PASS,both,both,
Feature typicality is not required by either rule,PASS,False,False,
Frozen JSON contains exactly two operating points,PASS,2,2,
Human-readable frozen summary contains exactly two operating points,PASS,2,2,
Serialized frozen rules reproduce validation metrics and accepted IDs,PASS,both rules,both rules,
Exactly the locked validation inputs were loaded,PASS,"['F:\\VSI - Volume F\\Reliability Aware BScan Ultrasound\\bscan_prelabeling\\outputs\\audits\\20260814T152105_990701-0700\\day6_risk_coverage_envelope.csv', 'F:\\VSI - Volume F\\Reliability Aware BScan Ultrasound\\bscan_prelabeling\\outputs\\audits\\20260814T152105_990701-0700\\day6_risk_coverage_pareto_frontier.csv', 'F:\\VSI - Volume F\\Reliability Aware BScan Ultrasound\\bscan_prelabeling\\outputs\\predictions\\reliability\\20260814T141442_497529-0700\\val_reliability_signals.csv', 'F:\\VSI - Volume F\\Reliability Aware BScan Ultrasound\\bscan_prelabeling\\outputs\\predictions\\selective_routing\\20260814T152105_990701-0700\\day6_routing_metadata.json']","['F:\\VSI - Volume F\\Reliability Aware BScan Ultrasound\\bscan_prelabeling\\outputs\\audits\\20260814T152105_990701-0700\\day6_risk_coverage_envelope.csv', 'F:\\VSI - Volume F\\Reliability Aware BScan Ultrasound\\bscan_prelabeling\\outputs\\audits\\20260814T152105_990701-0700\\day6_risk_coverage_pareto_frontier.csv', 'F:\\VSI - Volume F\\Reliability Aware BScan Ultrasound\\bscan_prelabeling\\outputs\\predictions\\reliability\\20260814T141442_497529-0700\\val_reliability_signals.csv', 'F:\\VSI - Volume F\\Reliability Aware BScan Ultrasound\\bscan_prelabeling\\outputs\\predictions\\selective_routing\\20260814T152105_990701-0700\\day6_routing_metadata.json']",
No loaded input path is a test artifact,PASS,False,False,
Locked upstream inputs remained unchanged,PASS,all hashes unchanged,all hashes unchanged,
