Check,Status,Observed,Expected,Details,DataScope,TestStatus
Locked Day-5 metadata records test_manifest_loaded=False,PASS,False,False,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Locked Day-5 metadata records test_set_evaluated=False,PASS,False,False,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Locked Day-5 metadata records test_embeddings_extracted=False,PASS,False,False,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Locked Day-5 metadata records test_predictions_created=False,PASS,False,False,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Training feature schema contains exactly Feature_000 through Feature_511,PASS,512,512,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Validation feature schema contains exactly Feature_000 through Feature_511,PASS,512,512,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Training eye count,PASS,560,560,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Validation eye count,PASS,120,120,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Training EyeExamID is unique,PASS,560,560,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Validation EyeExamID is unique,PASS,120,120,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Training subject count,PASS,179,179,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Validation subject count,PASS,95,95,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Training and validation subjects are disjoint,PASS,0,0,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Training and validation EyeExamIDs are disjoint,PASS,0,0,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Training labels are Normal/Abnormal,PASS,"['Abnormal', 'Normal']","['Abnormal', 'Normal']",,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Validation labels are Normal/Abnormal,PASS,"['Abnormal', 'Normal']","['Abnormal', 'Normal']",,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Reliability labels are Normal/Abnormal,PASS,"['Abnormal', 'Normal']","['Abnormal', 'Normal']",,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Validation label counts reproduce the locked cohort,PASS,"{'Abnormal': 88, 'Normal': 32}","{'Normal': 32, 'Abnormal': 88}",,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Validation correct/incorrect counts reproduce Day 4,PASS,"{'correct': 110, 'incorrect': 10}","{'correct': 110, 'incorrect': 10}",,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Validation embeddings and reliability table contain identical EyeExamIDs,PASS,0,0,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
Validation identity and predictions match the locked reliability table,PASS,True,True,,TRAIN + VALIDATION ONLY,TEST SET NOT LOADED OR EVALUATED
